instance,orig_m,orig_n,red_m,red_n,m_red_pct,n_red_pct,method,strategy,lb_type,initial_ub_type,cost,time,nodes,status,error
scp44.txt,200,1000,40,123,80.0,87.7,bb,dfs,both,greedy,140.0,0.016766071319580078,116,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,dfs,sum_degree,trivial,140.0,0.008584260940551758,116,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,dfs,packing,trivial,140.0,0.017951488494873047,207,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,dfs,both,trivial,140.0,0.02340531349182129,116,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,best_first,sum_degree,greedy,140.0,0.013446569442749023,72,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,best_first,packing,greedy,140.0,0.02637505531311035,210,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,best_first,both,greedy,140.0,0.008794307708740234,72,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,best_first,sum_degree,trivial,140.0,0.007576704025268555,84,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,best_first,packing,trivial,140.0,0.012845277786254883,245,success,
scp44.txt,200,1000,40,123,80.0,87.7,bb,best_first,both,trivial,140.0,0.006168365478515625,84,success,
scp45.txt,200,1000,40,121,80.0,87.9,greedy,N/A,N/A,N/A,127.0,0.0013813972473144531,1,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,dfs,sum_degree,greedy,125.0,0.013586997985839844,117,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,dfs,packing,greedy,125.0,0.021634817123413086,193,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,dfs,both,greedy,125.0,0.01819133758544922,117,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,dfs,sum_degree,trivial,125.0,0.010245084762573242,117,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,dfs,packing,trivial,125.0,0.019446611404418945,193,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,dfs,both,trivial,125.0,0.025086641311645508,117,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,best_first,sum_degree,greedy,125.0,0.02348041534423828,61,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,best_first,packing,greedy,125.0,0.02727365493774414,103,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,best_first,both,greedy,125.0,0.02135634422302246,61,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,best_first,sum_degree,trivial,125.0,0.010781288146972656,117,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,best_first,packing,trivial,125.0,0.014886856079101562,223,success,
scp45.txt,200,1000,40,121,80.0,87.9,bb,best_first,both,trivial,125.0,0.011862516403198242,117,success,
scp46.txt,200,1000,40,122,80.0,87.8,greedy,N/A,N/A,N/A,154.0,0.0017695426940917969,1,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,dfs,sum_degree,greedy,140.0,0.008687019348144531,77,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,dfs,packing,greedy,140.0,0.009854316711425781,95,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,dfs,both,greedy,140.0,0.011330366134643555,77,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,dfs,sum_degree,trivial,140.0,0.007117509841918945,77,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,dfs,packing,trivial,140.0,0.012337923049926758,95,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,dfs,both,trivial,140.0,0.013103008270263672,77,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,best_first,sum_degree,greedy,140.0,0.009270668029785156,78,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,best_first,packing,greedy,140.0,0.014269351959228516,94,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,best_first,both,greedy,140.0,0.013196229934692383,78,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,best_first,sum_degree,trivial,140.0,0.007434844970703125,81,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,best_first,packing,trivial,140.0,0.008324861526489258,99,success,
scp46.txt,200,1000,40,122,80.0,87.8,bb,best_first,both,trivial,140.0,0.009155035018920898,81,success,
scp47.txt,200,1000,40,122,80.0,87.8,greedy,N/A,N/A,N/A,166.0,0.0016791820526123047,1,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,dfs,sum_degree,greedy,152.0,0.017502784729003906,163,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,dfs,packing,greedy,152.0,0.03937864303588867,678,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,dfs,both,greedy,152.0,0.05106163024902344,163,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,dfs,sum_degree,trivial,152.0,0.015483617782592773,163,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,dfs,packing,trivial,152.0,0.04160118103027344,678,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,dfs,both,trivial,152.0,0.03417396545410156,163,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,best_first,sum_degree,greedy,152.0,0.019341468811035156,187,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,best_first,packing,greedy,152.0,0.0750584602355957,855,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,best_first,both,greedy,152.0,0.027167081832885742,187,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,best_first,sum_degree,trivial,152.0,0.01903986930847168,187,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,best_first,packing,trivial,152.0,0.056122541427612305,855,success,
scp47.txt,200,1000,40,122,80.0,87.8,bb,best_first,both,trivial,152.0,0.024170875549316406,187,success,
scp48.txt,200,1000,40,121,80.0,87.9,greedy,N/A,N/A,N/A,147.0,0.0010821819305419922,1,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,dfs,sum_degree,greedy,142.0,0.011822938919067383,126,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,dfs,packing,greedy,142.0,0.011607170104980469,151,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,dfs,both,greedy,142.0,0.023742198944091797,113,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,dfs,sum_degree,trivial,142.0,0.01326131820678711,126,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,dfs,packing,trivial,142.0,0.012537479400634766,151,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,dfs,both,trivial,142.0,0.01491999626159668,113,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,best_first,sum_degree,greedy,142.0,0.012185811996459961,78,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,best_first,packing,greedy,142.0,0.019185543060302734,75,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,best_first,both,greedy,142.0,0.018935441970825195,63,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,best_first,sum_degree,trivial,142.0,0.014428377151489258,111,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,best_first,packing,trivial,142.0,0.008906364440917969,110,success,
scp48.txt,200,1000,40,121,80.0,87.9,bb,best_first,both,trivial,142.0,0.009726285934448242,98,success,
scp49.txt,200,1000,40,124,80.0,87.6,greedy,N/A,N/A,N/A,244.0,0.003237009048461914,1,success,
scp49.txt,200,1000,40,124,80.0,87.6,bb,dfs,sum_degree,greedy,229.0,0.015124082565307617,228,success,
