instance_type,m,n,p,k,instance_id,method,strategy,lb_type,cost,time_seconds,nodes,status,error
uniform,50,100,0.1,0,3,bb,best_first,sum_degree,9.0,1.8266830444335935,3911,success,
uniform,50,100,0.1,0,2,bb,best_first,both,10.0,6.1694111824035645,2127,success,
uniform,50,100,0.1,0,1,bb,dfs,packing,10.0,26.81108403205872,95015,success,
uniform,50,100,0.1,0,4,greedy,,,11.0,0.0035250186920166,1,success,
uniform,50,100,0.1,0,4,bb,dfs,sum_degree,9.0,0.5776195526123047,1362,success,
uniform,50,100,0.1,0,3,bb,best_first,both,9.0,3.227578639984131,3393,success,
uniform,50,100,0.1,0,4,bb,dfs,both,9.0,0.8319768905639648,1207,success,
uniform,50,100,0.1,0,4,bb,dfs,packing,9.0,3.40689468383789,14232,success,
uniform,50,100,0.1,0,3,bb,best_first,packing,9.0,5.662168741226196,12791,success,
uniform,50,100,0.1,0,1,bb,best_first,packing,10.0,24.018706560134888,15513,success,
uniform,50,100,0.1,0,5,greedy,,,13.0,0.0019252300262451,1,success,
uniform,50,100,0.1,0,5,bb,dfs,sum_degree,10.0,0.598966121673584,1434,success,
uniform,50,100,0.1,0,4,bb,best_first,sum_degree,9.0,4.723807334899902,11689,success,
uniform,50,100,0.1,0,5,bb,dfs,both,10.0,0.9526205062866212,1382,success,
uniform,50,100,0.1,0,4,bb,best_first,both,9.0,6.769213438034058,10157,success,
uniform,50,100,0.1,0,0,bb,best_first,packing,10.0,43.24437880516052,29178,success,
uniform,50,100,0.1,0,5,bb,best_first,sum_degree,10.0,2.794541358947754,6859,success,
uniform,50,100,0.1,0,6,greedy,,,10.0,0.0013380050659179,1,success,
uniform,50,100,0.1,0,5,bb,dfs,packing,10.0,5.391057014465332,24873,success,
uniform,50,100,0.1,0,4,bb,best_first,packing,9.0,9.499255180358888,36732,success,
uniform,50,100,0.1,0,2,bb,best_first,packing,10.0,20.909267902374268,25129,success,
uniform,50,100,0.1,0,6,bb,dfs,sum_degree,10.0,1.9573004245758057,7809,success,
uniform,50,100,0.1,0,5,bb,best_first,both,10.0,3.0970754623413086,6584,success,
uniform,50,100,0.1,0,6,bb,best_first,sum_degree,10.0,2.3719913959503174,1323,success,
uniform,50,100,0.1,0,7,greedy,,,12.0,0.0014653205871582,1,success,
uniform,50,100,0.1,0,7,bb,dfs,sum_degree,10.0,1.1655075550079346,3040,success,
uniform,50,100,0.1,0,6,bb,dfs,both,10.0,4.346132040023804,7383,success,
uniform,50,100,0.1,0,7,bb,dfs,both,10.0,1.5058104991912842,2364,success,
uniform,50,100,0.1,0,6,bb,best_first,both,10.0,4.915316820144653,1253,success,
uniform,50,100,0.1,0,7,bb,dfs,packing,10.0,3.159930467605591,14162,success,
